country,code,diabetes_prevalence_pct,military_exp_pct_gdp,hospital_beds_per_1000,gdp_per_capita_usd,life_expectancy_years,ncd_deaths_pct
Kazakhstan,KAZ,6.8,0.42842846956594,6.54,14692.1331757237,74.531,59.8829524389268
Cabo Verde,CPV,6.8,0.623903407592831,2.21,5796.47207860911,76.224,64.1200994917821
Lao PDR,LAO,6.7,0.189895181780941,1.71,2324.76353098791,69.225,62.8866078816002
Myanmar,MMR,6.7,6.79452485229039,1.07,1488.87527836542,67.095,61.5712253500444
Georgia,GEO,6.7,1.86402941794564,4.04,9691.53472415196,74.657,68.6505429460307
New Zealand,NZL,6.7,1.19404695449297,2.51,49591.0405731713,82.009756097561,89.528781026162
France,FRA,6.5,2.05257687860637,5.65,48985.7307807924,82.9804878048781,78.9035375588078
Djibouti,DJI,6.5,2.62758252462798,1.4,3905.604954681,66.202,46.5524242096515
Peru,PER,6.4,0.909288680359786,1.56,9684.41170314988,77.941,41.5920508771201
Denmark,DNK,6.4,2.41617454160591,2.43,76970.1535217919,82.2536585365854,87.6995856432014
Moldova,MDA,6.3,0.597780838491135,5.54,8621.71721623786,71.332,72.6603393282291
Lesotho,LSO,6.2,1.56745014441231,1.3,1088.96276223185,57.798,34.070352005876
Ukraine,UKR,6.0,34.4815297701892,6.14,5865.884765625,74.692,72.8795054646579
Belgium,BEL,5.9,1.2770531266155,5.42,60750.2735864647,82.3,75.8535971254692
Russian Federation,RUS,5.9,7.05233864500366,6.81,17546.609375,73.4404878048781,62.3412031661021
"Somalia, Fed. Rep.",SOM,5.8,1.58578050121769,0.87,661.173877723116,58.967,25.1380776830653
Luxembourg,LUX,5.8,0.962679157025622,3.95,147252.179121515,83.1951219512195,79.8251415601762
Sweden,SWE,5.8,1.99771738810168,1.9,63133.2126736715,84.0634146341463,84.2874367435446
Malawi,MWI,5.7,1.02496048269861,1.3,671.506847203876,67.561,39.5921051795253
"Gambia, The",GMB,5.5,0.574440350261863,1.11,919.060423427951,66.057,38.5525715830377
"Yemen, Rep.",YEM,5.5,3.96689083277903,0.46,633.887202451545,69.439,41.53410593357
Austria,AUT,5.4,0.999843177036641,6.7,62930.0351324599,81.9951219512195,83.5282904653652
Faroe Islands,FRO,5.3,,,74175.2776311377,83.0832463414634,
